,link,primary name,secondary name,symptoms
0,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,Atrial fibrillation,A fibSee Atrial fibrillation,"['Feelings of a fast, fluttering or pounding heartbeat, called palpitations.', 'Chest pain.', 'Dizziness.', 'Fatigue.', 'Lightheadedness.', 'Reduced ability to exercise.', 'Shortness of breath.', 'Weakness.']"
1,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,Abdominal aortic aneurysm,Abdominal aortic aneurysm,"['Deep, constant pain in the belly area or side of the belly.', 'Back pain.', 'A pulse near the bellybutton.']"
2,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152,Hyperhidrosis,Abnormally excessive sweatingSee Hyperhidrosis,"['Sweating disrupts your daily routine', 'Sweating causes emotional distress or social withdrawal', 'You suddenly begin to sweat more than usual', 'You experience night sweats for no apparent reason']"
3,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,Bartholin's cyst,"Abscess, Bartholin'sSee Bartholin's cyst","['A tender, painful lump near the vaginal opening', 'Discomfort while walking or sitting', 'Pain during intercourse', 'Fever']"
4,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,Absence seizure,Absence seizure,"['A sudden stop in activity without falling.', 'Lip smacking.', 'Eyelid flutters.', 'Chewing motions.', 'Finger rubbing.', 'Small movements of both hands.']"
5,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,Acanthosis nigricans,Acanthosis nigricans,"['Insulin resistance.Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows the body to process sugar. Insulin resistance is what leads to type 2 diabetes. Insulin resistance is also related to polycystic ovarian syndrome and might be a factor in why acanthosis nigricans develops.', 'Certain drugs and supplements.High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans.', 'Cancer.Some types of cancer cause acanthosis nigricans. These include lymphoma and cancers of the stomach, colon and liver.']"
6,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,Achalasia,Achalasia,"['Inability to swallow (dysphagia), which may feel like food or drink is stuck in your throat', 'Regurgitating food or saliva', 'Heartburn', 'Belching', 'Chest pain that comes and goes', 'Coughing at night', 'Pneumonia (from aspiration of food into the lungs)', 'Weight loss', 'Vomiting']"
7,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,Achilles tendinitis,Achilles tendinitis,"['Your sex.Achilles tendinitis occurs most commonly in men.', 'Age.Achilles tendinitis is more common as you age.', 'Physical problems.A naturally flat arch in your foot can put more strain on the Achilles tendon. Obesity and tight calf muscles also can increase tendon strain.', 'Training choices.Running in worn-out shoes can increase your risk of Achilles tendinitis. Tendon pain occurs more frequently in cold weather than in warm weather, and running on hilly terrain also can predispose you to Achilles injury.', 'Medical conditions.People who have psoriasis or high blood pressure are at higher risk of developing Achilles tendinitis.', 'Medications.Certain types of antibiotics, called fluoroquinolones, have been associated with higher rates of Achilles tendinitis.']"
8,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,Achilles tendon rupture,Achilles tendon rupture,"['The feeling of having been kicked in the calf', 'Pain, possibly severe, and swelling near the heel', 'An inability to bend the foot downward or ""push off"" the injured leg when walking', 'An inability to stand on the toes on the injured leg', 'A popping or snapping sound when the injury occurs']"
9,https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,Gastroesophageal reflux disease (GERD),Acid refluxSee Gastroesophageal reflux disease,"['A burning sensation in your chest (heartburn), usually after eating, which might be worse at night or while lying down', 'Backwash (regurgitation) of food or sour liquid', 'Upper abdominal or chest pain', 'Trouble swallowing (dysphagia)', 'Sensation of a lump in your throat']"
10,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,Infant reflux,"Acid reflux, infantSee Infant reflux","[""Isn't gaining weight."", 'Consistently spits up forcefully, causing stomach contents to shoot out of the mouth. This is called projectile vomiting.', 'Spits up green or yellow fluid.', 'Spits up blood or stomach contents that look like coffee grounds.', 'Refuses to feed or eat.', 'Has blood in the stool.', ""Has difficulty breathing or a cough that won't go away."", 'Begins spitting up at age 6 months or older.', 'Is unusually irritable after eating.', ""Doesn't have much energy.""]"
11,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,ACL injury,ACL injury,"['A loud pop or a ""popping"" sensation in the knee', 'Severe pain and inability to continue activity', 'Rapid swelling', 'Loss of range of motion', 'A feeling of instability or ""giving way"" with weight bearing']"
12,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,Acne,Acne,"['Whiteheads (closed plugged pores)', 'Blackheads (open plugged pores)', 'Small red, tender bumps (papules)', 'Pimples (pustules), which are papules with pus at their tips', 'Large, solid, painful lumps under the skin (nodules)', 'Painful, pus-filled lumps under the skin (cystic lesions)']"
13,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306,Hidradenitis suppurativa,Acne inversaSee Hidradenitis suppurativa,"['Blackheads.Blackheads appear in small, pitted areas of skin, often appearing in pairs.', 'Painful pea-sized lumps.The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts.', 'Leaking bumps or sores.Some bumps or sores get bigger, break open and drain pus with an odor.', 'Tunnels.Over time, tunnels might form under the skin, connecting the lumps. These wounds heal slowly, if at all, and drain blood and pus.']"
